apartado,factor,a,b,diferencia,ic_bajo,ic_alto,ganadas,n,separado
A5.1,modo,sam21 M4 x P2 x S0,sam21 M1 x P2 x S0,0.0615,-0.0079,0.1341,12,17,False
A5.1,modo,sam21 M4 x P2 x S0,sam21 M3 x P2 x S0,0.015,-0.0929,0.1198,10,17,False
A5.1,modo,sam21 M4 x P2 x S1,sam21 M1 x P2 x S1,0.0955,0.0381,0.1576,12,17,True
A5.1,modo,sam21 M1 x P3 x S0,sam21 M0 x P3 x S0,0.0268,-0.0387,0.098,8,17,False
A5.1,modo,sam21 M3 x P3 x S0,sam21 M1 x P3 x S0,0.0188,-0.0758,0.1268,11,17,False
A5.1,modo,sam21 M4 x P3 x S0,sam21 M1 x P3 x S0,0.0671,-0.0096,0.1483,14,17,False
A5.1,modo,sam21 M4 x P3 x S0,sam21 M3 x P3 x S0,0.0483,-0.0568,0.1528,11,17,False
A5.1,modo,sam21 M4 x P3 x S1,sam21 M1 x P3 x S1,0.0753,0.0411,0.1122,14,17,True
A5.1,modo,sam21 M1 x P4 x S0,sam21 M0 x P4 x S0,0.0623,-0.0217,0.1568,8,17,False
A5.1,modo,sam21 M3 x P4 x S0,sam21 M1 x P4 x S0,0.0965,-0.0186,0.2093,12,17,False
A5.1,modo,sam21 M4 x P4 x S0,sam21 M1 x P4 x S0,0.1829,0.1199,0.2478,16,17,True
A5.1,modo,sam21 M4 x P4 x S0,sam21 M3 x P4 x S0,0.0864,-0.0244,0.1887,12,17,False
A5.1,modo,sam21 M4 x P4 x S1,sam21 M1 x P4 x S1,0.0337,-0.0031,0.0689,12,17,False
A5.1,modo,sammed2d M1 x P1 x S0,sammed2d M0 x P1 x S0,0.0874,0.0367,0.1362,15,17,True
A5.1,modo,sammed2d M4 x P1 x S0,sammed2d M1 x P1 x S0,-0.2395,-0.287,-0.1892,0,17,True
A5.1,modo,sammed2d M4 x P1 x S1,sammed2d M1 x P1 x S1,-0.2395,-0.287,-0.1892,0,17,True
A5.1,modo,sammed2d M1 x P2 x S0,sammed2d M0 x P2 x S0,0.0824,0.046,0.1192,14,17,True
A5.1,modo,sammed2d M4 x P2 x S0,sammed2d M1 x P2 x S0,-0.2416,-0.2875,-0.1907,1,17,True
A5.1,modo,sammed2d M4 x P2 x S1,sammed2d M1 x P2 x S1,-0.2416,-0.2875,-0.1907,1,17,True
A5.1,modo,sammed2d M1 x P3 x S0,sammed2d M0 x P3 x S0,0.0787,0.0361,0.1183,15,17,True
A5.1,modo,sammed2d M4 x P3 x S0,sammed2d M1 x P3 x S0,-0.2287,-0.2636,-0.1911,0,17,True
A5.1,modo,sammed2d M4 x P3 x S1,sammed2d M1 x P3 x S1,-0.2287,-0.2636,-0.1911,0,17,True
A5.1,modo,sammed2d M1 x P4 x S0,sammed2d M0 x P4 x S0,0.0864,0.0483,0.1223,15,17,True
A5.1,modo,sammed2d M4 x P4 x S0,sammed2d M1 x P4 x S0,-0.2462,-0.2871,-0.2006,0,17,True
A5.1,modo,sammed2d M4 x P4 x S1,sammed2d M1 x P4 x S1,-0.2462,-0.2871,-0.2006,0,17,True
A5.1,modo,tinysam M1 x P1 x S0,tinysam M0 x P1 x S0,0.0886,0.0116,0.1801,12,17,True
A5.1,modo,tinysam M4 x P1 x S0,tinysam M1 x P1 x S0,-0.0035,-0.0356,0.0259,11,17,False
A5.1,modo,tinysam M4 x P1 x S1,tinysam M1 x P1 x S1,0.0056,-0.0346,0.0432,9,17,False
A5.1,modo,tinysam M1 x P2 x S0,tinysam M0 x P2 x S0,0.104,0.0142,0.2045,9,17,True
A5.1,modo,tinysam M4 x P2 x S0,tinysam M1 x P2 x S0,0.0067,-0.0303,0.0405,11,17,False
A5.1,modo,tinysam M4 x P2 x S1,tinysam M1 x P2 x S1,0.0477,-0.0112,0.1064,10,17,False
A5.1,modo,tinysam M1 x P3 x S0,tinysam M0 x P3 x S0,0.0571,-0.0148,0.1521,10,17,False
A5.1,modo,tinysam M4 x P3 x S0,tinysam M1 x P3 x S0,0.059,0.0193,0.1016,15,17,True
A5.1,modo,tinysam M4 x P3 x S1,tinysam M1 x P3 x S1,0.0308,-0.0034,0.0651,12,17,False
A5.1,modo,tinysam M1 x P4 x S0,tinysam M0 x P4 x S0,0.1434,0.0625,0.2372,15,17,True
A5.1,modo,tinysam M4 x P4 x S0,tinysam M1 x P4 x S0,0.0837,0.0536,0.1131,14,17,True
A5.1,modo,tinysam M4 x P4 x S1,tinysam M1 x P4 x S1,0.0854,0.0346,0.1366,13,17,True
A5.5,prompt,microsam_lm M1 x P2,microsam_lm M1 x P1,0.0146,0.0017,0.0298,11,17,True
A5.5,prompt,microsam_lm M1 x P3,microsam_lm M1 x P1,0.0432,0.002,0.084,13,17,True
A5.5,prompt,microsam_lm M1 x P4,microsam_lm M1 x P1,0.104,0.0512,0.1607,14,17,True
A5.5,prompt,sam21 M1 x P2,sam21 M1 x P1,0.007,-0.014,0.0273,10,17,False
A5.5,prompt,sam21 M1 x P3,sam21 M1 x P1,0.0149,-0.0251,0.0588,11,17,False
A5.5,prompt,sam21 M1 x P4,sam21 M1 x P1,0.1062,0.0512,0.167,13,17,True
A5.5,prompt,sammed2d M1 x P2,sammed2d M1 x P1,0.0036,-0.0115,0.019,7,17,False
A5.5,prompt,sammed2d M1 x P3,sammed2d M1 x P1,-0.0189,-0.0443,0.0077,5,17,False
A5.5,prompt,sammed2d M1 x P4,sammed2d M1 x P1,0.0008,-0.0294,0.0325,10,17,False
A5.5,prompt,tinysam M1 x P2,tinysam M1 x P1,0.0135,-0.0027,0.0299,11,17,False
A5.5,prompt,tinysam M1 x P3,tinysam M1 x P1,0.0052,-0.0179,0.0287,8,17,False
A5.5,prompt,tinysam M1 x P4,tinysam M1 x P1,0.1045,0.0575,0.1565,15,17,True
A5.5,selector,microsam_lm M0 x P1 x S1,microsam_lm M0 x P1 x S0,-0.0126,-0.0544,0.0314,4,17,False
A5.5,selector,microsam_lm M0 x P1 x solo puerta,microsam_lm M0 x P1 x S0,0.0,0.0,0.0,0,17,False
A5.5,selector,microsam_lm M0 x P1 x solo ranking,microsam_lm M0 x P1 x S0,-0.0126,-0.0544,0.0314,4,17,False
A5.5,selector,microsam_lm M0 x P2 x S1,microsam_lm M0 x P2 x S0,-0.0704,-0.1185,-0.0254,5,17,True
A5.5,selector,microsam_lm M0 x P2 x solo puerta,microsam_lm M0 x P2 x S0,0.0099,-0.0124,0.0348,4,17,False
